|-----|------------------------------|
| dB  |   tUI    |   EH   |    EW    |
|  1  | 125.00ps | 0.517V | 109.92ps |
|  1  | 125.00ps | 0.517V | 109.96ps |
|  1  | 125.00ps | 0.517V | 110.00ps |
|  1  | 125.00ps | 0.518V | 110.05ps |
|  1  | 125.00ps | 0.518V | 110.09ps |
|  1  | 125.00ps | 0.518V | 110.14ps |
|  1  | 125.00ps | 0.518V | 110.18ps |
|  1  | 125.00ps | 0.518V | 110.22ps |
|  1  | 125.00ps | 0.519V | 110.27ps |
|  1  | 125.00ps | 0.519V | 110.31ps |
|  1  | 125.00ps | 0.519V | 110.36ps |
|  1  | 125.00ps | 0.519V | 110.40ps |
|  1  | 125.00ps | 0.519V | 110.44ps |
|  1  | 125.00ps | 0.520V | 110.49ps |
|  1  | 125.00ps | 0.520V | 110.53ps |
|  1  | 125.00ps | 0.520V | 110.58ps |
|  1  | 125.00ps | 0.520V | 110.62ps |
|  1  | 125.00ps | 0.520V | 110.66ps |
|  1  | 125.00ps | 0.521V | 110.71ps |
|  1  | 125.00ps | 0.521V | 110.75ps |
|  1  | 125.00ps | 0.521V | 110.80ps |
|  1  | 125.00ps | 0.521V | 110.84ps |
|  1  | 125.00ps | 0.521V | 110.88ps |
|  1  | 125.00ps | 0.522V | 110.93ps |
|  1  | 125.00ps | 0.522V | 110.97ps |
|  1  | 125.00ps | 0.522V | 111.02ps |
|  1  | 125.00ps | 0.522V | 111.06ps |
|  1  | 125.00ps | 0.522V | 111.10ps |
|  1  | 125.00ps | 0.523V | 111.15ps |
|  1  | 125.00ps | 0.523V | 111.19ps |
|  1  | 125.00ps | 0.523V | 111.23ps |
|  1  | 125.00ps | 0.523V | 111.28ps |
|  1  | 125.00ps | 0.523V | 111.32ps |
|  1  | 125.00ps | 0.524V | 111.37ps |
|  1  | 125.00ps | 0.524V | 111.41ps |
|  1  | 125.00ps | 0.524V | 111.45ps |
|  1  | 125.00ps | 0.524V | 111.50ps |
|  1  | 125.00ps | 0.524V | 111.54ps |
|  1  | 125.00ps | 0.525V | 111.58ps |
|  1  | 125.00ps | 0.525V | 111.63ps |
|  1  | 125.00ps | 0.525V | 111.67ps |
|  1  | 125.00ps | 0.525V | 111.71ps |
|  1  | 125.00ps | 0.525V | 111.76ps |
|  1  | 125.00ps | 0.526V | 111.80ps |
|  1  | 125.00ps | 0.526V | 111.84ps |
|  1  | 125.00ps | 0.526V | 111.89ps |
|  1  | 125.00ps | 0.526V | 111.93ps |
|  1  | 125.00ps | 0.526V | 111.97ps |
|  1  | 125.00ps | 0.527V | 112.02ps |
|  1  | 125.00ps | 0.527V | 112.06ps |
|  1  | 125.00ps | 0.527V | 112.10ps |
|  1  | 125.00ps | 0.527V | 112.15ps |
|  1  | 125.00ps | 0.527V | 112.19ps |
|  1  | 125.00ps | 0.528V | 112.23ps |
|  1  | 125.00ps | 0.528V | 112.28ps |
|  1  | 125.00ps | 0.528V | 112.32ps |
|  1  | 125.00ps | 0.528V | 112.36ps |
|  1  | 125.00ps | 0.528V | 112.41ps |
|  1  | 125.00ps | 0.529V | 112.45ps |
|  1  | 125.00ps | 0.529V | 112.49ps |
|  1  | 125.00ps | 0.529V | 112.54ps |
|  1  | 125.00ps | 0.529V | 112.58ps |
|  1  | 125.00ps | 0.529V | 112.62ps |
|  1  | 125.00ps | 0.529V | 112.67ps |
|  1  | 125.00ps | 0.530V | 112.71ps |
|  1  | 125.00ps | 0.530V | 112.75ps |
|  1  | 125.00ps | 0.530V | 112.80ps |
|  1  | 125.00ps | 0.530V | 112.84ps |
|  1  | 125.00ps | 0.530V | 112.88ps |
|  1  | 125.00ps | 0.531V | 112.93ps |
|  1  | 125.00ps | 0.531V | 112.97ps |
|  1  | 125.00ps | 0.531V | 113.01ps |
|  1  | 125.00ps | 0.531V | 113.05ps |
|  1  | 125.00ps | 0.531V | 113.10ps |
|  1  | 125.00ps | 0.532V | 113.14ps |
|  1  | 125.00ps | 0.532V | 113.18ps |
|  1  | 125.00ps | 0.532V | 113.23ps |
|  1  | 125.00ps | 0.532V | 113.27ps |
|  1  | 125.00ps | 0.532V | 113.31ps |
|  2  | 125.00ps | 0.533V | 113.36ps |
|  2  | 125.00ps | 0.533V | 113.40ps |
|  2  | 125.00ps | 0.533V | 113.44ps |
|  2  | 125.00ps | 0.533V | 113.48ps |
|  2  | 125.00ps | 0.533V | 113.53ps |
|  2  | 125.00ps | 0.533V | 113.57ps |
|  2  | 125.00ps | 0.534V | 113.61ps |
|  2  | 125.00ps | 0.534V | 113.66ps |
|  2  | 125.00ps | 0.534V | 113.70ps |
|  2  | 125.00ps | 0.534V | 113.74ps |
|  2  | 125.00ps | 0.534V | 113.78ps |
|  2  | 125.00ps | 0.535V | 113.83ps |
|  2  | 125.00ps | 0.535V | 113.87ps |
|  2  | 125.00ps | 0.535V | 113.91ps |
|  2  | 125.00ps | 0.535V | 113.95ps |
|  2  | 125.00ps | 0.535V | 114.00ps |
|  2  | 125.00ps | 0.535V | 114.04ps |
|  2  | 125.00ps | 0.536V | 114.08ps |
|  2  | 125.00ps | 0.536V | 114.12ps |
|  2  | 125.00ps | 0.536V | 114.17ps |
|  2  | 125.00ps | 0.536V | 114.21ps |
|  2  | 125.00ps | 0.536V | 114.25ps |
|  2  | 125.00ps | 0.537V | 114.29ps |
|  2  | 125.00ps | 0.537V | 114.34ps |
|  2  | 125.00ps | 0.537V | 114.38ps |
|  2  | 125.00ps | 0.537V | 114.42ps |
|  2  | 125.00ps | 0.537V | 114.46ps |
|  2  | 125.00ps | 0.538V | 114.51ps |
|  2  | 125.00ps | 0.538V | 114.55ps |
|  2  | 125.00ps | 0.538V | 114.59ps |
|  2  | 125.00ps | 0.538V | 114.63ps |
|  2  | 125.00ps | 0.538V | 114.68ps |
|  2  | 125.00ps | 0.538V | 114.72ps |
|  2  | 125.00ps | 0.539V | 114.76ps |
|  2  | 125.00ps | 0.539V | 114.80ps |
|  2  | 125.00ps | 0.539V | 114.85ps |
|  2  | 125.00ps | 0.539V | 114.89ps |
|  2  | 125.00ps | 0.539V | 114.93ps |
|  2  | 125.00ps | 0.539V | 114.97ps |
|  2  | 125.00ps | 0.540V | 115.01ps |
|  2  | 125.00ps | 0.540V | 115.06ps |
|  2  | 125.00ps | 0.540V | 115.10ps |
|  2  | 125.00ps | 0.540V | 115.14ps |
|  2  | 125.00ps | 0.540V | 115.18ps |
|  2  | 125.00ps | 0.541V | 115.23ps |
|  2  | 125.00ps | 0.541V | 115.27ps |
|  2  | 125.00ps | 0.541V | 115.31ps |
|  2  | 125.00ps | 0.541V | 115.35ps |
|  2  | 125.00ps | 0.541V | 115.39ps |
|  2  | 125.00ps | 0.541V | 115.44ps |
|  2  | 125.00ps | 0.542V | 115.48ps |
|  2  | 125.00ps | 0.542V | 115.52ps |
|  2  | 125.00ps | 0.542V | 115.56ps |
|  2  | 125.00ps | 0.542V | 115.60ps |
|  2  | 125.00ps | 0.542V | 115.65ps |
|  2  | 125.00ps | 0.543V | 115.69ps |
|  2  | 125.00ps | 0.543V | 115.73ps |
