|-----|------------------------------|
| dB  |   tUI    |   EH   |    EW    |
|  5  | 125.00ps | 0.458V | 112.29ps |
|  5  | 125.00ps | 0.457V | 112.28ps |
|  5  | 125.00ps | 0.457V | 112.26ps |
|  5  | 125.00ps | 0.456V | 112.25ps |
|  5  | 125.00ps | 0.456V | 112.23ps |
|  5  | 125.00ps | 0.455V | 112.22ps |
|  5  | 125.00ps | 0.455V | 112.20ps |
|  5  | 125.00ps | 0.454V | 112.19ps |
|  5  | 125.00ps | 0.454V | 112.18ps |
|  5  | 125.00ps | 0.453V | 112.16ps |
|  5  | 125.00ps | 0.453V | 112.15ps |
|  5  | 125.00ps | 0.452V | 112.13ps |
|  5  | 125.00ps | 0.452V | 112.12ps |
|  5  | 125.00ps | 0.451V | 112.10ps |
|  5  | 125.00ps | 0.451V | 112.09ps |
|  5  | 125.00ps | 0.450V | 112.08ps |
|  5  | 125.00ps | 0.450V | 112.06ps |
|  5  | 125.00ps | 0.449V | 112.05ps |
|  5  | 125.00ps | 0.449V | 112.03ps |
|  5  | 125.00ps | 0.448V | 112.02ps |
|  5  | 125.00ps | 0.448V | 112.00ps |
|  5  | 125.00ps | 0.447V | 111.99ps |
|  5  | 125.00ps | 0.447V | 111.98ps |
|  5  | 125.00ps | 0.446V | 111.96ps |
|  5  | 125.00ps | 0.446V | 111.95ps |
|  5  | 125.00ps | 0.445V | 111.93ps |
|  5  | 125.00ps | 0.445V | 111.92ps |
|  5  | 125.00ps | 0.444V | 111.90ps |
|  5  | 125.00ps | 0.444V | 111.89ps |
|  5  | 125.00ps | 0.443V | 111.88ps |
|  5  | 125.00ps | 0.443V | 111.86ps |
|  5  | 125.00ps | 0.442V | 111.85ps |
|  5  | 125.00ps | 0.442V | 111.83ps |
|  5  | 125.00ps | 0.442V | 111.82ps |
|  5  | 125.00ps | 0.441V | 111.80ps |
|  5  | 125.00ps | 0.441V | 111.79ps |
|  5  | 125.00ps | 0.440V | 111.78ps |
|  5  | 125.00ps | 0.440V | 111.76ps |
|  5  | 125.00ps | 0.439V | 111.75ps |
|  5  | 125.00ps | 0.439V | 111.73ps |
|  5  | 125.00ps | 0.438V | 111.72ps |
|  5  | 125.00ps | 0.438V | 111.71ps |
|  5  | 125.00ps | 0.437V | 111.69ps |
|  5  | 125.00ps | 0.437V | 111.68ps |
|  5  | 125.00ps | 0.436V | 111.66ps |
|  5  | 125.00ps | 0.436V | 111.65ps |
|  5  | 125.00ps | 0.435V | 111.63ps |
|  5  | 125.00ps | 0.435V | 111.62ps |
|  5  | 125.00ps | 0.434V | 111.61ps |
|  5  | 125.00ps | 0.434V | 111.59ps |
|  5  | 125.00ps | 0.433V | 111.58ps |
|  5  | 125.00ps | 0.433V | 111.56ps |
|  5  | 125.00ps | 0.432V | 111.55ps |
|  5  | 125.00ps | 0.432V | 111.54ps |
|  5  | 125.00ps | 0.431V | 111.52ps |
|  5  | 125.00ps | 0.431V | 111.51ps |
|  5  | 125.00ps | 0.430V | 111.49ps |
|  5  | 125.00ps | 0.430V | 111.48ps |
|  5  | 125.00ps | 0.430V | 111.47ps |
|  5  | 125.00ps | 0.429V | 111.45ps |
|  5  | 125.00ps | 0.429V | 111.44ps |
|  5  | 125.00ps | 0.428V | 111.42ps |
|  5  | 125.00ps | 0.428V | 111.41ps |
|  5  | 125.00ps | 0.427V | 111.39ps |
|  5  | 125.00ps | 0.427V | 111.38ps |
|  5  | 125.00ps | 0.426V | 111.37ps |
|  5  | 125.00ps | 0.426V | 111.35ps |
|  5  | 125.00ps | 0.425V | 111.34ps |
|  5  | 125.00ps | 0.425V | 111.32ps |
|  5  | 125.00ps | 0.424V | 111.31ps |
|  6  | 125.00ps | 0.424V | 111.30ps |
|  6  | 125.00ps | 0.423V | 111.28ps |
|  6  | 125.00ps | 0.423V | 111.27ps |
|  6  | 125.00ps | 0.423V | 111.25ps |
|  6  | 125.00ps | 0.422V | 111.24ps |
|  6  | 125.00ps | 0.422V | 111.23ps |
|  6  | 125.00ps | 0.421V | 111.21ps |
|  6  | 125.00ps | 0.421V | 111.19ps |
|  6  | 125.00ps | 0.420V | 111.17ps |
|  6  | 125.00ps | 0.420V | 111.16ps |
|  6  | 125.00ps | 0.419V | 111.14ps |
|  6  | 125.00ps | 0.419V | 111.12ps |
|  6  | 125.00ps | 0.418V | 111.10ps |
|  6  | 125.00ps | 0.418V | 111.08ps |
|  6  | 125.00ps | 0.417V | 111.07ps |
|  6  | 125.00ps | 0.417V | 111.05ps |
|  6  | 125.00ps | 0.417V | 111.03ps |
|  6  | 125.00ps | 0.416V | 111.01ps |
|  6  | 125.00ps | 0.416V | 110.99ps |
|  6  | 125.00ps | 0.415V | 110.97ps |
|  6  | 125.00ps | 0.415V | 110.96ps |
|  6  | 125.00ps | 0.414V | 110.94ps |
|  6  | 125.00ps | 0.414V | 110.92ps |
|  6  | 125.00ps | 0.413V | 110.90ps |
|  6  | 125.00ps | 0.413V | 110.88ps |
|  6  | 125.00ps | 0.412V | 110.87ps |
|  6  | 125.00ps | 0.412V | 110.85ps |
|  6  | 125.00ps | 0.412V | 110.83ps |
|  6  | 125.00ps | 0.411V | 110.81ps |
|  6  | 125.00ps | 0.411V | 110.79ps |
|  6  | 125.00ps | 0.410V | 110.78ps |
|  6  | 125.00ps | 0.410V | 110.76ps |
|  6  | 125.00ps | 0.409V | 110.74ps |
|  6  | 125.00ps | 0.409V | 110.72ps |
|  6  | 125.00ps | 0.408V | 110.70ps |
|  6  | 125.00ps | 0.408V | 110.68ps |
|  6  | 125.00ps | 0.408V | 110.67ps |
|  6  | 125.00ps | 0.407V | 110.65ps |
|  6  | 125.00ps | 0.407V | 110.63ps |
|  6  | 125.00ps | 0.406V | 110.61ps |
|  6  | 125.00ps | 0.406V | 110.59ps |
|  6  | 125.00ps | 0.405V | 110.58ps |
|  6  | 125.00ps | 0.405V | 110.56ps |
|  6  | 125.00ps | 0.404V | 110.54ps |
|  6  | 125.00ps | 0.404V | 110.52ps |
|  6  | 125.00ps | 0.404V | 110.50ps |
|  6  | 125.00ps | 0.403V | 110.49ps |
|  6  | 125.00ps | 0.403V | 110.47ps |
|  6  | 125.00ps | 0.402V | 110.45ps |
|  6  | 125.00ps | 0.402V | 110.43ps |
|  6  | 125.00ps | 0.401V | 110.41ps |
|  6  | 125.00ps | 0.401V | 110.40ps |
|  6  | 125.00ps | 0.400V | 110.38ps |
|  6  | 125.00ps | 0.400V | 110.36ps |
|  6  | 125.00ps | 0.400V | 110.34ps |
|  6  | 125.00ps | 0.399V | 110.32ps |
|  6  | 125.00ps | 0.399V | 110.31ps |
|  6  | 125.00ps | 0.398V | 110.29ps |
|  6  | 125.00ps | 0.398V | 110.27ps |
|  6  | 125.00ps | 0.397V | 110.25ps |
|  6  | 125.00ps | 0.397V | 110.24ps |
|  6  | 125.00ps | 0.397V | 110.22ps |
|  6  | 125.00ps | 0.396V | 110.20ps |
|  6  | 125.00ps | 0.396V | 110.18ps |
|  6  | 125.00ps | 0.395V | 110.16ps |
|  6  | 125.00ps | 0.395V | 110.15ps |
|  6  | 125.00ps | 0.394V | 110.13ps |
|  6  | 125.00ps | 0.394V | 110.11ps |
|  6  | 125.00ps | 0.394V | 110.09ps |
|  6  | 125.00ps | 0.393V | 110.07ps |
|  6  | 125.00ps | 0.393V | 110.06ps |
|  6  | 125.00ps | 0.392V | 110.04ps |
|  6  | 125.00ps | 0.392V | 110.02ps |
|  6  | 125.00ps | 0.391V | 110.00ps |
|  6  | 125.00ps | 0.391V | 109.98ps |
|  6  | 125.00ps | 0.391V | 109.97ps |
|  6  | 125.00ps | 0.390V | 109.95ps |
|  6  | 125.00ps | 0.390V | 109.93ps |
|  6  | 125.00ps | 0.389V | 109.91ps |
|  6  | 125.00ps | 0.389V | 109.90ps |
|  6  | 125.00ps | 0.388V | 109.88ps |
|  6  | 125.00ps | 0.388V | 109.86ps |
|  6  | 125.00ps | 0.388V | 109.84ps |
|  6  | 125.00ps | 0.387V | 109.82ps |
|  6  | 125.00ps | 0.387V | 109.81ps |
|  6  | 125.00ps | 0.386V | 109.79ps |
|  6  | 125.00ps | 0.386V | 109.77ps |
|  6  | 125.00ps | 0.385V | 109.75ps |
|  6  | 125.00ps | 0.385V | 109.74ps |
|  6  | 125.00ps | 0.385V | 109.72ps |
|  6  | 125.00ps | 0.384V | 109.70ps |
|  6  | 125.00ps | 0.384V | 109.68ps |
|  6  | 125.00ps | 0.383V | 109.66ps |
|  6  | 125.00ps | 0.383V | 109.65ps |
|  6  | 125.00ps | 0.382V | 109.63ps |
|  6  | 125.00ps | 0.382V | 109.61ps |
|  6  | 125.00ps | 0.382V | 109.59ps |
|  6  | 125.00ps | 0.381V | 109.58ps |
|  6  | 125.00ps | 0.381V | 109.56ps |
|  6  | 125.00ps | 0.380V | 109.54ps |
|  7  | 125.00ps | 0.380V | 109.52ps |
|  7  | 125.00ps | 0.380V | 109.51ps |
|  7  | 125.00ps | 0.379V | 109.49ps |
|  7  | 125.00ps | 0.379V | 109.47ps |
|  7  | 125.00ps | 0.378V | 109.45ps |
|  7  | 125.00ps | 0.378V | 109.43ps |
|  7  | 125.00ps | 0.378V | 109.42ps |
|  7  | 125.00ps | 0.377V | 109.40ps |
|  7  | 125.00ps | 0.377V | 109.38ps |
|  7  | 125.00ps | 0.376V | 109.36ps |
|  7  | 125.00ps | 0.376V | 109.35ps |
|  7  | 125.00ps | 0.375V | 109.33ps |
|  7  | 125.00ps | 0.375V | 109.31ps |
|  7  | 125.00ps | 0.375V | 109.29ps |
|  7  | 125.00ps | 0.374V | 109.28ps |
|  7  | 125.00ps | 0.374V | 109.26ps |
|  7  | 125.00ps | 0.373V | 109.24ps |
|  7  | 125.00ps | 0.393V | 109.22ps |
|  7  | 125.00ps | 0.393V | 109.21ps |
|  7  | 125.00ps | 0.392V | 109.19ps |
|  7  | 125.00ps | 0.392V | 109.17ps |
|  7  | 125.00ps | 0.392V | 109.15ps |
|  7  | 125.00ps | 0.391V | 109.14ps |
|  7  | 125.00ps | 0.391V | 109.12ps |
|  7  | 125.00ps | 0.390V | 109.10ps |
|  7  | 125.00ps | 0.390V | 109.08ps |
|  7  | 125.00ps | 0.390V | 109.07ps |
|  7  | 125.00ps | 0.389V | 109.05ps |
|  7  | 125.00ps | 0.389V | 109.03ps |
|  7  | 125.00ps | 0.388V | 109.01ps |
|  7  | 125.00ps | 0.388V | 109.00ps |
|  7  | 125.00ps | 0.387V | 108.98ps |
|  7  | 125.00ps | 0.387V | 108.96ps |
|  7  | 125.00ps | 0.387V | 108.94ps |
|  7  | 125.00ps | 0.386V | 108.93ps |
|  7  | 125.00ps | 0.386V | 108.91ps |
|  7  | 125.00ps | 0.385V | 108.89ps |
|  7  | 125.00ps | 0.385V | 108.87ps |
|  7  | 125.00ps | 0.385V | 108.86ps |
|  7  | 125.00ps | 0.384V | 108.84ps |
|  7  | 125.00ps | 0.384V | 108.82ps |
|  7  | 125.00ps | 0.383V | 108.80ps |
|  7  | 125.00ps | 0.383V | 108.79ps |
|  7  | 125.00ps | 0.383V | 108.77ps |
|  7  | 125.00ps | 0.382V | 108.75ps |
|  7  | 125.00ps | 0.382V | 108.73ps |
|  7  | 125.00ps | 0.382V | 108.72ps |
|  7  | 125.00ps | 0.381V | 108.70ps |
|  7  | 125.00ps | 0.381V | 108.68ps |
|  7  | 125.00ps | 0.380V | 108.66ps |
|  7  | 125.00ps | 0.380V | 108.65ps |
|  7  | 125.00ps | 0.380V | 108.63ps |
|  7  | 125.00ps | 0.379V | 108.61ps |
|  7  | 125.00ps | 0.379V | 108.60ps |
|  7  | 125.00ps | 0.378V | 108.58ps |
|  7  | 125.00ps | 0.378V | 108.56ps |
|  7  | 125.00ps | 0.378V | 108.54ps |
|  7  | 125.00ps | 0.377V | 108.53ps |
|  7  | 125.00ps | 0.377V | 108.51ps |
|  7  | 125.00ps | 0.376V | 108.49ps |
|  7  | 125.00ps | 0.376V | 108.47ps |
|  7  | 125.00ps | 0.376V | 108.46ps |
|  7  | 125.00ps | 0.375V | 108.44ps |
|  7  | 125.00ps | 0.375V | 108.42ps |
|  7  | 125.00ps | 0.374V | 108.40ps |
|  7  | 125.00ps | 0.374V | 108.39ps |
|  7  | 125.00ps | 0.374V | 108.37ps |
|  7  | 125.00ps | 0.373V | 108.35ps |
|  7  | 125.00ps | 0.373V | 108.34ps |
|  7  | 125.00ps | 0.373V | 108.32ps |
|  7  | 125.00ps | 0.372V | 108.30ps |
|  7  | 125.00ps | 0.372V | 108.28ps |
|  7  | 125.00ps | 0.371V | 108.27ps |
|  7  | 125.00ps | 0.371V | 108.25ps |
|  7  | 125.00ps | 0.371V | 108.23ps |
|  7  | 125.00ps | 0.370V | 108.22ps |
|  7  | 125.00ps | 0.370V | 108.20ps |
|  7  | 125.00ps | 0.369V | 108.18ps |
|  7  | 125.00ps | 0.369V | 108.16ps |
|  7  | 125.00ps | 0.369V | 108.15ps |
|  7  | 125.00ps | 0.368V | 108.13ps |
|  7  | 125.00ps | 0.368V | 108.11ps |
|  7  | 125.00ps | 0.368V | 108.09ps |
|  7  | 125.00ps | 0.367V | 108.08ps |
|  7  | 125.00ps | 0.367V | 108.06ps |
|  7  | 125.00ps | 0.366V | 108.04ps |
|  7  | 125.00ps | 0.366V | 108.02ps |
|  7  | 125.00ps | 0.366V | 108.00ps |
|  7  | 125.00ps | 0.365V | 107.97ps |
|  7  | 125.00ps | 0.365V | 107.95ps |
|  7  | 125.00ps | 0.365V | 107.93ps |
|  7  | 125.00ps | 0.364V | 107.91ps |
|  7  | 125.00ps | 0.364V | 107.89ps |
|  7  | 125.00ps | 0.363V | 107.87ps |
|  7  | 125.00ps | 0.363V | 107.85ps |
|  7  | 125.00ps | 0.363V | 107.83ps |
|  7  | 125.00ps | 0.362V | 107.81ps |
|  7  | 125.00ps | 0.362V | 107.79ps |
|  7  | 125.00ps | 0.362V | 107.77ps |
|  7  | 125.00ps | 0.361V | 107.75ps |
|  8  | 125.00ps | 0.361V | 107.72ps |
|  8  | 125.00ps | 0.360V | 107.70ps |
|  8  | 125.00ps | 0.360V | 107.68ps |
|  8  | 125.00ps | 0.360V | 107.66ps |
|  8  | 125.00ps | 0.359V | 107.64ps |
|  8  | 125.00ps | 0.359V | 107.62ps |
|  8  | 125.00ps | 0.359V | 107.60ps |
|  8  | 125.00ps | 0.358V | 107.58ps |
|  8  | 125.00ps | 0.358V | 107.56ps |
|  8  | 125.00ps | 0.358V | 107.54ps |
|  8  | 125.00ps | 0.357V | 107.52ps |
|  8  | 125.00ps | 0.357V | 107.50ps |
|  8  | 125.00ps | 0.356V | 107.48ps |
|  8  | 125.00ps | 0.356V | 107.46ps |
|  8  | 125.00ps | 0.356V | 107.43ps |
|  8  | 125.00ps | 0.355V | 107.41ps |
|  8  | 125.00ps | 0.355V | 107.39ps |
|  8  | 125.00ps | 0.355V | 107.37ps |
|  8  | 125.00ps | 0.354V | 107.35ps |
|  8  | 125.00ps | 0.354V | 107.33ps |
|  8  | 125.00ps | 0.354V | 107.31ps |
|  8  | 125.00ps | 0.353V | 107.29ps |
|  8  | 125.00ps | 0.353V | 107.27ps |
|  8  | 125.00ps | 0.352V | 107.25ps |
|  8  | 125.00ps | 0.352V | 107.23ps |
|  8  | 125.00ps | 0.352V | 107.21ps |
|  8  | 125.00ps | 0.351V | 107.19ps |
|  8  | 125.00ps | 0.351V | 107.17ps |
|  8  | 125.00ps | 0.351V | 107.15ps |
|  8  | 125.00ps | 0.350V | 107.13ps |
|  8  | 125.00ps | 0.350V | 107.11ps |
|  8  | 125.00ps | 0.350V | 107.09ps |
|  8  | 125.00ps | 0.349V | 107.07ps |
|  8  | 125.00ps | 0.349V | 107.05ps |
|  8  | 125.00ps | 0.348V | 107.02ps |
|  8  | 125.00ps | 0.348V | 107.00ps |
|  8  | 125.00ps | 0.348V | 106.98ps |
|  8  | 125.00ps | 0.347V | 106.96ps |
|  8  | 125.00ps | 0.347V | 106.94ps |
|  8  | 125.00ps | 0.347V | 106.92ps |
|  8  | 125.00ps | 0.346V | 106.90ps |
|  8  | 125.00ps | 0.346V | 106.88ps |
|  8  | 125.00ps | 0.346V | 106.86ps |
|  8  | 125.00ps | 0.345V | 106.84ps |
|  8  | 125.00ps | 0.345V | 106.82ps |
|  8  | 125.00ps | 0.345V | 106.80ps |
|  8  | 125.00ps | 0.344V | 106.78ps |
|  8  | 125.00ps | 0.344V | 106.76ps |
|  8  | 125.00ps | 0.344V | 106.74ps |
|  8  | 125.00ps | 0.343V | 106.72ps |
|  8  | 125.00ps | 0.343V | 106.70ps |
|  8  | 125.00ps | 0.342V | 106.68ps |
|  8  | 125.00ps | 0.342V | 106.66ps |
|  8  | 125.00ps | 0.342V | 106.64ps |
|  8  | 125.00ps | 0.341V | 106.62ps |
|  8  | 125.00ps | 0.341V | 106.60ps |
|  8  | 125.00ps | 0.341V | 106.58ps |
|  8  | 125.00ps | 0.340V | 106.56ps |
|  8  | 125.00ps | 0.340V | 106.54ps |
|  8  | 125.00ps | 0.340V | 106.52ps |
|  8  | 125.00ps | 0.339V | 106.50ps |
|  8  | 125.00ps | 0.339V | 106.48ps |
|  8  | 125.00ps | 0.339V | 106.46ps |
|  8  | 125.00ps | 0.338V | 106.44ps |
|  8  | 125.00ps | 0.338V | 106.42ps |
|  8  | 125.00ps | 0.338V | 106.40ps |
|  8  | 125.00ps | 0.337V | 106.38ps |
|  8  | 125.00ps | 0.337V | 106.36ps |
|  8  | 125.00ps | 0.337V | 106.34ps |
|  8  | 125.00ps | 0.336V | 106.32ps |
|  8  | 125.00ps | 0.336V | 106.30ps |
|  8  | 125.00ps | 0.336V | 106.28ps |
|  8  | 125.00ps | 0.335V | 106.26ps |
|  8  | 125.00ps | 0.335V | 106.24ps |
|  8  | 125.00ps | 0.335V | 106.22ps |
|  8  | 125.00ps | 0.334V | 106.20ps |
|  8  | 125.00ps | 0.334V | 106.18ps |
|  8  | 125.00ps | 0.334V | 106.16ps |
|  8  | 125.00ps | 0.333V | 106.14ps |
|  8  | 125.00ps | 0.333V | 106.12ps |
|  8  | 125.00ps | 0.333V | 106.10ps |
|  8  | 125.00ps | 0.332V | 106.08ps |
|  8  | 125.00ps | 0.332V | 106.06ps |
|  8  | 125.00ps | 0.331V | 106.04ps |
|  8  | 125.00ps | 0.331V | 106.02ps |
|  8  | 125.00ps | 0.331V | 106.00ps |
|  8  | 125.00ps | 0.330V | 105.98ps |
|  8  | 125.00ps | 0.330V | 105.96ps |
|  8  | 125.00ps | 0.330V | 105.94ps |
|  8  | 125.00ps | 0.329V | 105.92ps |
|  8  | 125.00ps | 0.329V | 105.90ps |
|  8  | 125.00ps | 0.329V | 105.88ps |
|  8  | 125.00ps | 0.328V | 105.86ps |
|  8  | 125.00ps | 0.328V | 105.84ps |
|  8  | 125.00ps | 0.328V | 105.82ps |
|  8  | 125.00ps | 0.327V | 105.80ps |
|  8  | 125.00ps | 0.327V | 105.78ps |
|  8  | 125.00ps | 0.327V | 105.76ps |
|  8  | 125.00ps | 0.326V | 105.74ps |
|  8  | 125.00ps | 0.326V | 105.72ps |
|  9  | 125.00ps | 0.326V | 105.71ps |
|  9  | 125.00ps | 0.325V | 105.69ps |
|  9  | 125.00ps | 0.325V | 105.67ps |
|  9  | 125.00ps | 0.325V | 105.65ps |
|  9  | 125.00ps | 0.324V | 105.63ps |
|  9  | 125.00ps | 0.324V | 105.61ps |
|  9  | 125.00ps | 0.324V | 105.59ps |
|  9  | 125.00ps | 0.324V | 105.57ps |
|  9  | 125.00ps | 0.323V | 105.55ps |
|  9  | 125.00ps | 0.323V | 105.53ps |
|  9  | 125.00ps | 0.323V | 105.51ps |
|  9  | 125.00ps | 0.322V | 105.49ps |
|  9  | 125.00ps | 0.322V | 105.47ps |
|  9  | 125.00ps | 0.322V | 105.45ps |
|  9  | 125.00ps | 0.321V | 105.43ps |
|  9  | 125.00ps | 0.321V | 105.41ps |
|  9  | 125.00ps | 0.321V | 105.39ps |
|  9  | 125.00ps | 0.320V | 105.37ps |
|  9  | 125.00ps | 0.320V | 105.35ps |
|  9  | 125.00ps | 0.320V | 105.33ps |
|  9  | 125.00ps | 0.319V | 105.32ps |
|  9  | 125.00ps | 0.319V | 105.30ps |
|  9  | 125.00ps | 0.319V | 105.28ps |
|  9  | 125.00ps | 0.318V | 105.26ps |
|  9  | 125.00ps | 0.318V | 105.24ps |
|  9  | 125.00ps | 0.318V | 105.22ps |
|  9  | 125.00ps | 0.317V | 105.20ps |
|  9  | 125.00ps | 0.317V | 105.18ps |
|  9  | 125.00ps | 0.317V | 105.16ps |
|  9  | 125.00ps | 0.316V | 105.14ps |
|  9  | 125.00ps | 0.316V | 105.12ps |
|  9  | 125.00ps | 0.316V | 105.10ps |
|  9  | 125.00ps | 0.315V | 105.08ps |
|  9  | 125.00ps | 0.315V | 105.06ps |
|  9  | 125.00ps | 0.315V | 105.05ps |
|  9  | 125.00ps | 0.314V | 105.03ps |
|  9  | 125.00ps | 0.314V | 105.01ps |
|  9  | 125.00ps | 0.314V | 104.99ps |
|  9  | 125.00ps | 0.314V | 104.97ps |
|  9  | 125.00ps | 0.313V | 104.95ps |
|  9  | 125.00ps | 0.313V | 104.93ps |
|  9  | 125.00ps | 0.313V | 104.91ps |
|  9  | 125.00ps | 0.312V | 104.89ps |
|  9  | 125.00ps | 0.312V | 104.87ps |
|  9  | 125.00ps | 0.311V | 104.85ps |
|  9  | 125.00ps | 0.311V | 104.83ps |
|  9  | 125.00ps | 0.311V | 104.82ps |
|  9  | 125.00ps | 0.310V | 104.80ps |
|  9  | 125.00ps | 0.310V | 104.78ps |
|  9  | 125.00ps | 0.310V | 104.76ps |
|  9  | 125.00ps | 0.309V | 104.74ps |
|  9  | 125.00ps | 0.309V | 104.72ps |
|  9  | 125.00ps | 0.309V | 104.70ps |
|  9  | 125.00ps | 0.308V | 104.68ps |
|  9  | 125.00ps | 0.308V | 104.66ps |
|  9  | 125.00ps | 0.308V | 104.64ps |
|  9  | 125.00ps | 0.307V | 104.63ps |
|  9  | 125.00ps | 0.307V | 104.61ps |
|  9  | 125.00ps | 0.307V | 104.59ps |
|  9  | 125.00ps | 0.306V | 104.57ps |
|  9  | 125.00ps | 0.306V | 104.55ps |
|  9  | 125.00ps | 0.306V | 104.53ps |
|  9  | 125.00ps | 0.305V | 104.51ps |
|  9  | 125.00ps | 0.305V | 104.49ps |
|  9  | 125.00ps | 0.305V | 104.47ps |
|  9  | 125.00ps | 0.304V | 104.46ps |
|  9  | 125.00ps | 0.304V | 104.44ps |
|  9  | 125.00ps | 0.304V | 104.42ps |
|  9  | 125.00ps | 0.303V | 104.40ps |
|  9  | 125.00ps | 0.303V | 104.38ps |
|  9  | 125.00ps | 0.303V | 104.36ps |
|  9  | 125.00ps | 0.302V | 104.34ps |
|  9  | 125.00ps | 0.302V | 104.32ps |
|  9  | 125.00ps | 0.302V | 104.30ps |
|  9  | 125.00ps | 0.301V | 104.29ps |
|  9  | 125.00ps | 0.301V | 104.27ps |
|  9  | 125.00ps | 0.301V | 104.25ps |
|  9  | 125.00ps | 0.300V | 104.23ps |
|  9  | 125.00ps | 0.300V | 104.21ps |
|  9  | 125.00ps | 0.300V | 104.19ps |
|  9  | 125.00ps | 0.299V | 104.17ps |
|  9  | 125.00ps | 0.299V | 104.16ps |
|  9  | 125.00ps | 0.299V | 104.14ps |
|  9  | 125.00ps | 0.298V | 104.12ps |
|  9  | 125.00ps | 0.298V | 104.10ps |
|  9  | 125.00ps | 0.298V | 104.08ps |
|  9  | 125.00ps | 0.297V | 104.06ps |
|  9  | 125.00ps | 0.297V | 104.04ps |
|  9  | 125.00ps | 0.297V | 104.02ps |
|  9  | 125.00ps | 0.296V | 104.01ps |
|  9  | 125.00ps | 0.296V | 103.99ps |
|  9  | 125.00ps | 0.296V | 103.97ps |
|  9  | 125.00ps | 0.295V | 103.95ps |
|  9  | 125.00ps | 0.295V | 103.93ps |
|  9  | 125.00ps | 0.295V | 103.91ps |
|  9  | 125.00ps | 0.294V | 103.90ps |
|  9  | 125.00ps | 0.294V | 103.88ps |
|  9  | 125.00ps | 0.294V | 103.86ps |
|  9  | 125.00ps | 0.293V | 103.84ps |
|  9  | 125.00ps | 0.293V | 103.82ps |
| 10  | 125.00ps | 0.293V | 103.80ps |
|-----|------------------------------|
