|-----|------------------------------|
| dB  |   tUI    |   EH   |    EW    |
|5.80  | 125.00ps | 0.435V | 112.98ps |
|5.85  | 125.00ps | 0.432V | 112.91ps |
|5.90  | 125.00ps | 0.430V | 112.83ps |
|5.95  | 125.00ps | 0.427V | 112.75ps |
|6.00  | 125.00ps | 0.425V | 112.67ps |
|6.05  | 125.00ps | 0.423V | 112.60ps |
|6.10  | 125.00ps | 0.420V | 112.52ps |
|6.15  | 125.00ps | 0.418V | 112.44ps |
|6.20  | 125.00ps | 0.416V | 112.37ps |
|6.25  | 125.00ps | 0.414V | 112.29ps |
|6.30  | 125.00ps | 0.411V | 112.22ps |
|6.35  | 125.00ps | 0.409V | 112.14ps |
|6.40  | 125.00ps | 0.407V | 112.06ps |
|6.45  | 125.00ps | 0.405V | 111.99ps |
|6.50  | 125.00ps | 0.402V | 111.91ps |
|6.55  | 125.00ps | 0.420V | 111.84ps |
|6.60  | 125.00ps | 0.418V | 111.76ps |
|6.65  | 125.00ps | 0.416V | 111.69ps |
|6.70  | 125.00ps | 0.414V | 111.61ps |
|6.75  | 125.00ps | 0.412V | 111.52ps |
|6.80  | 125.00ps | 0.409V | 111.43ps |
|6.85  | 125.00ps | 0.407V | 111.33ps |
|6.90  | 125.00ps | 0.405V | 111.24ps |
|6.95  | 125.00ps | 0.403V | 111.14ps |
|7.00  | 125.00ps | 0.401V | 111.04ps |
|7.05  | 125.00ps | 0.399V | 110.95ps |
|7.10  | 125.00ps | 0.397V | 110.85ps |
|7.15  | 125.00ps | 0.395V | 110.76ps |
|7.20  | 125.00ps | 0.393V | 110.66ps |
|7.25  | 125.00ps | 0.391V | 110.55ps |
|7.30  | 125.00ps | 0.388V | 110.44ps |
|7.35  | 125.00ps | 0.386V | 110.33ps |
|7.40  | 125.00ps | 0.384V | 110.22ps |
|7.45  | 125.00ps | 0.382V | 110.11ps |
|7.50  | 125.00ps | 0.380V | 110.00ps |
|7.55  | 125.00ps | 0.378V | 109.89ps |
|7.60  | 125.00ps | 0.376V | 109.78ps |
|7.65  | 125.00ps | 0.374V | 109.67ps |
|7.70  | 125.00ps | 0.373V | 109.57ps |
|7.75  | 125.00ps | 0.371V | 109.46ps |
|7.80  | 125.00ps | 0.369V | 109.35ps |
|7.85  | 125.00ps | 0.367V | 109.25ps |
|7.90  | 125.00ps | 0.365V | 109.14ps |
|7.95  | 125.00ps | 0.363V | 109.03ps |
|8.00  | 125.00ps | 0.361V | 108.93ps |
|8.05  | 125.00ps | 0.359V | 108.82ps |
|8.10  | 125.00ps | 0.357V | 108.72ps |
|8.15  | 125.00ps | 0.356V | 108.61ps |
|8.20  | 125.00ps | 0.354V | 108.51ps |
|8.25  | 125.00ps | 0.352V | 108.40ps |
|8.30  | 125.00ps | 0.350V | 108.30ps |
|8.35  | 125.00ps | 0.348V | 108.19ps |
|8.40  | 125.00ps | 0.346V | 108.09ps |
|8.45  | 125.00ps | 0.345V | 107.99ps |
|8.50  | 125.00ps | 0.343V | 107.88ps |
|8.55  | 125.00ps | 0.341V | 107.78ps |
|8.60  | 125.00ps | 0.339V | 107.68ps |
|8.65  | 125.00ps | 0.338V | 107.58ps |
|8.70  | 125.00ps | 0.336V | 107.47ps |
|8.75  | 125.00ps | 0.334V | 107.37ps |
|8.80  | 125.00ps | 0.332V | 107.27ps |
|8.85  | 125.00ps | 0.331V | 107.17ps |
|8.90  | 125.00ps | 0.329V | 107.07ps |
|8.95  | 125.00ps | 0.327V | 106.97ps |
|9.00  | 125.00ps | 0.326V | 106.87ps |
|9.05  | 125.00ps | 0.324V | 106.77ps |
|9.10  | 125.00ps | 0.322V | 106.67ps |
|9.15  | 125.00ps | 0.321V | 106.57ps |
|9.20  | 125.00ps | 0.319V | 106.47ps |
|9.25  | 125.00ps | 0.317V | 106.37ps |
|9.30  | 125.00ps | 0.315V | 106.28ps |
|9.35  | 125.00ps | 0.314V | 106.18ps |
|9.40  | 125.00ps | 0.312V | 106.08ps |
|9.45  | 125.00ps | 0.310V | 105.98ps |
|9.50  | 125.00ps | 0.309V | 105.89ps |
|9.55  | 125.00ps | 0.307V | 105.79ps |
|9.60  | 125.00ps | 0.305V | 105.69ps |
|9.65  | 125.00ps | 0.303V | 105.60ps |
|9.70  | 125.00ps | 0.302V | 105.50ps |
|9.75  | 125.00ps | 0.300V | 105.40ps |
|9.80  | 125.00ps | 0.298V | 105.31ps |
|9.85  | 125.00ps | 0.297V | 105.21ps |
|9.90  | 125.00ps | 0.295V | 105.12ps |
|9.95  | 125.00ps | 0.293V | 105.02ps |
|10.00  | 125.00ps | 0.292V | 104.93ps |
|-----|------------------------------|  
